Round,Team1,Seed1,Team2,Seed2
First Four,Team61,16,Team62,16
First Four,Team63,16,Team64,16
First Four,Team65,11,Team66,11
First Four,Team67,11,Team68,11
First Round,Team1,1,Team2,16
First Round,Team3,8,Team4,9
First Round,Team5,5,Team6,12
First Round,Team7,4,Team8,13
First Round,Team9,6,Team10,11
First Round,Team11,3,Team12,14
First Round,Team13,7,Team14,10
First Round,Team15,2,Team16,15
First Round,Team17,1,Team18,16
First Round,Team19,8,Team20,9
First Round,Team21,5,Team22,12
First Round,Team23,4,Team24,13
First Round,Team25,6,Team26,11
First Round,Team27,3,Team28,14
First Round,Team29,7,Team30,10
First Round,Team31,2,Team32,15
First Round,Team33,1,Team34,16
First Round,Team35,8,Team36,9
First Round,Team37,5,Team38,12
First Round,Team39,4,Team40,13
First Round,Team41,6,Team42,11
First Round,Team43,3,Team44,14
First Round,Team45,7,Team46,10
First Round,Team47,2,Team48,15
First Round,Team49,1,Team50,16
First Round,Team51,8,Team52,9
First Round,Team53,5,Team54,12
First Round,Team55,4,Team56,13
First Round,Team57,6,Winner of First Four Game 1,11
First Round,Team58,3,Winner of First Four Game 2,14
First Round,Team59,7,Winner of First Four Game 3,10
First Round,Team60,2,Winner of First Four Game 4,15
Second Round,Winner of First Round Game 1,1,Winner of First Round Game 2,16
Second Round,Winner of First Round Game 3,8,Winner of First Round Game 4,9
Second Round,Winner of First Round Game 5,5,Winner of First Round Game 6,12
Second Round,Winner of First Round Game 7,4,Winner of First Round Game 8,13
Second Round,Winner of First Round Game 9,6,Winner of First Round Game 10,11
Second Round,Winner of First Round Game 11,3,Winner of First Round Game 12,14
Second Round,Winner of First Round Game 13,7,Winner of First Round Game 14,10
Second Round,Winner of First Round Game 15,2,Winner of First Round Game 16,15
Second Round,Winner of First Round Game 17,1,Winner of First Round Game 18,16
Second Round,Winner of First Round Game 19,8,Winner of First Round Game 20,9
Second Round,Winner of First Round Game 21,5,Winner of First Round Game 22,12
Second Round,Winner of First Round Game 23,4,Winner of First Round Game 24,13
Second Round,Winner of First Round Game 25,6,Winner of First Round Game 26,11
Second Round,Winner of First Round Game 27,3,Winner of First Round Game 28,14
Second Round,Winner of First Round Game 29,7,Winner of First Round Game 30,10
Second Round,Winner of First Round Game 31,2,Winner of First Round Game 32,15
Sweet Sixteen,Winner of Second Round Game 1,1,Winner of Second Round Game 2,16
Sweet Sixteen,Winner of Second Round Game 3,8,Winner of Second Round Game 4,9
Sweet Sixteen,Winner of Second Round Game 5,5,Winner of Second Round Game 6,12
Sweet Sixteen,Winner of Second Round Game 7,4,Winner of Second Round Game 8,13
Sweet Sixteen,Winner of Second Round Game 9,6,Winner of Second Round Game 10,11
Sweet Sixteen,Winner of Second Round Game 11,3,Winner of Second Round Game 12,14
Sweet Sixteen,Winner of Second Round Game 13,7,Winner of Second Round Game 14,10
Sweet Sixteen,Winner of Second Round Game 15,2,Winner of Second Round Game 16,15
Elite Eight,Winner of Sweet Sixteen Game 1,1,Winner of Sweet Sixteen Game 2,16
Elite Eight,Winner of Sweet Sixteen Game 3,8,Winner of Sweet Sixteen Game 4,9
Elite Eight,Winner of Sweet Sixteen Game 5,5,Winner of Sweet Sixteen Game 6,12
Elite Eight,Winner of Sweet Sixteen Game 7,4,Winner of Sweet Sixteen Game 8,13
Final Four,Winner of Elite Eight Game 1,1,Winner of Elite Eight Game 2,16
Final Four,Winner of Elite Eight Game 3,8,Winner of Elite Eight Game 4,9
Championship,Winner of Final Four Game 1,1,Winner of Final Four Game 2,16
