Year,Round,Region,Team1,Seed1,Team2,Seed2,Score,Winner,Team1_Rk,Team1_Conf,Team1_W-L,Team1_NetRtg,Team1_ORtg,Team1_ORtg_RANK,Team1_DRtg,Team1_DRtg_RANK,Team1_AdjT,Team1_AdjT_RANK,Team1_Luck,Team1_Luck_RANK,Team1_Strength of Schedule NetRtg,Team1_Strength of Schedule NetRtg_RANK,Team1_Strength of Schedule ORtg,Team1_Strength of Schedule ORtg_RANK,Team1_Strength of Schedule DRtg,Team1_Strength of Schedule DRtg_RANK,Team1_NCSOS NetRtg,Team1_NCSOS NetRtg_RANK,Team1_Wins,Team1_Losses,Team1_WinPct,Team2_Rk,Team2_Conf,Team2_W-L,Team2_NetRtg,Team2_ORtg,Team2_ORtg_RANK,Team2_DRtg,Team2_DRtg_RANK,Team2_AdjT,Team2_AdjT_RANK,Team2_Luck,Team2_Luck_RANK,Team2_Strength of Schedule NetRtg,Team2_Strength of Schedule NetRtg_RANK,Team2_Strength of Schedule ORtg,Team2_Strength of Schedule ORtg_RANK,Team2_Strength of Schedule DRtg,Team2_Strength of Schedule DRtg_RANK,Team2_NCSOS NetRtg,Team2_NCSOS NetRtg_RANK,Team2_Wins,Team2_Losses,Team2_WinPct
2010,First Round,Midwest,Kansas,1,Lehigh,16,90-74,Kansas,2,B12,33-3,31.85,120.4,2,88.5,8,67.2,105,0.038,83,9.53,16,108.2,16,98.7,32,1.13,125,33,3,0.9166666666666666,186,Pat,22-11,-0.97,105.6,134,106.6,249,68.9,48,0.018,116,-10.02,326,96.8,322,106.8,330,-8.95,340,22,11,0.6666666666666666
2010,First Round,Midwest,UNLV,8,Northern Iowa,9,66-69,Northern Iowa,41,MWC,25-9,16.56,110.6,55,94.0,40,66.3,156,-0.013,205,4.08,91,104.8,104,100.7,93,0.67,135,25,9,0.7352941176470589,27,MVC,30-5,18.87,109.6,67,90.8,13,58.9,340,0.034,85,4.08,92,105.7,73,101.6,115,-1.58,200,30,5,0.8571428571428571
2010,First Round,Midwest,Michigan St.,5,New Mexico St.,12,70-67,Michigan St.,20,B10,28-9,20.13,112.8,33,92.7,27,65.3,203,0.027,96,9.03,24,107.5,26,98.5,29,-0.94,173,28,9,0.7567567567567568,112,WAC,22-12,6.03,111.6,45,105.5,231,70.3,24,0.122,5,4.03,94,105.8,72,101.7,120,2.09,102,22,12,0.6470588235294118
2010,First Round,Midwest,Maryland,4,Houston,13,89-77,Maryland,13,ACC,24-9,22.37,118.3,7,95.9,57,68.7,53,-0.023,241,8.87,28,106.7,46,97.8,15,-4.35,276,24,9,0.7272727272727273,88,CUSA,19-16,8.79,112.0,42,103.2,179,71.1,14,-0.083,335,3.76,100,105.0,93,101.2,104,0.68,134,19,16,0.5428571428571428
2010,First Round,Midwest,Tennessee,6,San Diego St.,11,62-59,Tennesse,30,SEC,28-9,18.5,108.9,75,90.4,11,67.5,91,0.082,20,8.67,34,107.4,32,98.7,35,-0.48,160,28,9,0.7567567567567568,40,MWC,25-9,16.58,111.4,48,94.9,51,63.1,284,0.006,155,5.4,76,105.3,84,99.9,69,2.24,99,25,9,0.7352941176470589
2010,First Round,Midwest,Georgetown,3,Ohio,14,83-97,Ohio,11,BE,23-11,22.64,116.8,13,94.2,42,65.8,182,-0.035,266,11.55,3,109.0,4,97.4,6,3.35,79,23,11,0.6764705882352942,94,MAC,22-15,8.25,107.3,103,99.0,100,68.8,50,-0.068,319,0.76,155,103.1,163,102.3,152,-0.9,170,22,15,0.5945945945945946
2010,First Round,Midwest,Oklahoma St.,7,Georgia Tech,10,59-64,Georgia Tech,39,B12,22-11,16.72,112.2,40,95.4,54,66.2,159,0.011,136,8.47,38,107.2,36,98.7,36,-4.33,274,22,11,0.6666666666666666,31,ACC,23-13,18.22,109.2,71,91.0,15,68.2,67,-0.034,262,10.94,7,107.4,31,96.4,2,-2.46,229,23,13,0.6388888888888888
2010,First Round,Midwest,Ohio St.,2,UC Santa Barbara,15,68-51,Ohio St.,7,B10,29-8,24.99,117.5,8,92.5,26,64.6,232,0.007,152,7.88,49,106.3,60,98.4,26,-2.92,243,29,8,0.7837837837837838,153,BW,20-10,2.11,100.0,212,97.9,86,66.3,150,0.125,3,-1.0,182,102.8,170,103.8,202,3.46,77,20,10,0.6666666666666666
2010,First Round,West,Syracuse,1,Vermont,16,79-56,Syracuse,3,BE,30-5,27.62,118.5,6,90.9,14,68.7,59,-0.008,191,8.62,36,108.5,10,99.8,67,-2.96,246,30,5,0.8571428571428571,136,AE,25-10,3.08,104.1,151,101.0,136,66.1,167,0.068,35,-6.32,284,98.8,287,105.1,261,-3.11,251,25,10,0.7142857142857143
2010,First Round,West,Gonzaga,8,Florida St.,9,67-60,Gonzaga,44,WCC,27-7,16.14,112.3,38,96.1,63,67.5,95,0.079,23,3.42,104,105.5,79,102.1,137,4.43,61,27,7,0.7941176470588235,33,ACC,22-10,18.02,105.0,145,87.0,2,65.3,208,0.009,142,9.01,26,107.3,34,98.3,21,-2.88,241,22,10,0.6875
